Period,Global_c0,Alaska_c0,Aleutian_c0,Cascadia_c0,CAM_c0,Japan_c0,SA_N_c0,SA_S_c0,Taiwan_c0,c1,b4,Global_a0,Alaska_a0,Cascadia_a0,CAM_a0,Japan_a0,SA_a0,Taiwan_a0,c4,c5,c6,d,m,db (km),V1 (m/s),V2 (m/s),Vref (m/s),Japan_s1,Taiwan_s1,Global_s2,Alaska_s2,Cascadia_s2,Japan_s2,SA_s2,Taiwan_s2,f4,f5,J_e1,J_e2,J_e3,C_e1,C_e2,C_e3
0.15,11.311,10.883,11.402,11.103,10.809,11.619,10.566,11.32,11.503,-2.634,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.06,0.52,0.2814,0.0325,67,270,1500,760,-0.25,-0.484,-0.546,-0.729,-0.499,-0.568,-0.536,-0.499,-0.48583,-0.0046,0.164,-0.139,-0.082,0.29,-0.29,-0.193
0.2,11.055,10.633,11.183,10.841,10.519,11.351,10.33,10.927,11.32,-2.583,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.068,0.535,0.291,0.0306,67,270,1425,760,-0.288,-0.498,-0.612,-0.867,-0.533,-0.667,-0.584,-0.522,-0.47383,-0.00434,0.164,-0.139,-0.082,0.177,-0.192,-0.148
0.25,10.803,10.322,10.965,10.583,10.268,11.063,10.124,10.555,11.147,-2.539,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.075,0.55,0.2758,0.0306,67,270,1350,760,-0.36,-0.511,-0.688,-1.011,-0.592,-0.781,-0.654,-0.555,-0.47696,-0.00402,0.08,-0.08,-0.053,0.1,-0.035,-0.054
0.3,10.669,10.116,10.87,10.443,10.134,10.878,10.077,10.328,11.079,-2.528,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.082,0.565,0.2719,0.0323,67,270,1250,760,-0.455,-0.514,-0.748,-1.133,-0.681,-0.867,-0.725,-0.596,-0.4845,-0.0037,0,0,1,0,0,1
0.4,10.116,9.561,10.411,9.884,9.598,10.296,9.539,9.639,10.547,-2.452,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.091,0.58,0.2539,0.0302,67,270,1150,760,-0.617,-0.51,-0.802,-1.238,-0.772,-0.947,-0.801,-0.643,-0.48105,-0.00342,-0.13,0.113,0.087,0,0.05,0.2
0.5,9.579,8.973,9.901,9.341,9.097,9.711,9.03,9.03,10.049,-2.384,0.1,-2.55E-03,-2.19E-03,-4.01E-03,-2.17E-03,-3.11E-03,-2.17E-03,-3.55E-03,1.884,-0.1,0.595,0.2482,0.0295,67,270,1025,760,-0.757,-0.506,-0.845,-1.321,-0.838,-1.003,-0.863,-0.689,-0.46492,-0.00322,-0.2,0.176,0.118,0,0.1,0.2
0.75,8.837,8.246,9.335,8.593,8.324,8.934,8.258,8.258,9.327,-2.338,0.1,-2.11E-03,-1.89E-03,-3.47E-03,-1.88E-03,-2.69E-03,-1.88E-03,-3.07E-03,1.884,-0.115,0.61,0.2227,0.0266,67,270,900,760,-0.966,-0.5,-0.911,-1.383,-0.922,-1.052,-0.942,-0.745,-0.43439,-0.00312,-0.401,0.284,0.167,0,0.2,0.125
1,8.067,7.507,8.68,7.817,7.557,8.164,7.467,7.417,8.504,-2.267,0.1,-1.87E-03,-1.68E-03,-3.09E-03,-1.67E-03,-2.39E-03,-1.67E-03,-2.73E-03,1.884,-0.134,0.625,0.1969,0.0231,67,270,800,760,-0.986,-0.49,-0.926,-1.414,-0.932,-1.028,-0.96,-0.777,-0.38484,-0.0031,-0.488,0.346,0.203,0,0.245,0.153
1.5,6.829,6.213,7.581,6.573,6.35,6.896,6.22,6.18,7.204,-2.166,0.1,-1.54E-03,-1.39E-03,-2.54E-03,-1.38E-03,-1.97E-03,-1.38E-03,-2.25E-03,1.884,-0.154,0.64,0.1452,0.0118,67,270,760,760,-0.966,-0.486,-0.888,-1.43,-0.814,-0.971,-0.942,-0.79,-0.31318,-0.0031,-0.578,0.48,0.24,0,0.32,0.2
2,5.871,5.206,6.671,5.609,5.434,5.935,5.261,5.161,6.227,-2.077,0.1,-1.31E-03,-1.18E-03,-2.16E-03,-1.17E-03,-1.67E-03,-1.17E-03,-1.91E-03,1.884,-0.154,0.655,0.06,0.007,67,270,760,760,-0.901,-0.475,-0.808,-1.421,-0.725,-0.901,-0.891,-0.765,-0.25,-0.0031,-0.645,0.579,0.254,0,0.37,0.239
2.5,5.2,4.594,6.047,4.932,4.773,5.234,4.567,4.517,5.517,-2.015,0.1,-1.13E-03,-1.01E-03,-1.86E-03,-1.01E-03,-1.44E-03,-1.01E-03,-1.64E-03,1.884,-0.154,0.67,0,0,0,270,760,760,-0.822,-0.453,-0.743,-1.391,-0.632,-0.822,-0.842,-0.724,-0.19,-0.0031,-0.678,0.609,0.267,0,0.4,0.264
3,4.83,4.206,5.667,4.556,4.441,4.849,4.176,4.076,5.157,-2.012,0.1,-9.79E-04,-8.80E-04,-1.61E-03,-8.73E-04,-1.25E-03,-8.73E-04,-1.43E-03,1.949,-0.154,0.685,0,0,0,270,760,760,-0.751,-0.428,-0.669,-1.343,-0.57,-0.751,-0.787,-0.675,-0.14,-0.0031,-0.772,0.635,0.265,0,0.43,0.287
4,4.173,3.517,4.97,3.893,3.849,4.074,3.495,3.445,4.55,-1.989,0.1,-7.45E-04,-6.70E-04,-1.23E-03,-6.64E-04,-9.52E-04,-6.64E-04,-1.09E-03,2.031,-0.154,0.7,0,0,0,270,760,760,-0.68,-0.396,-0.585,-1.297,-0.489,-0.68,-0.706,-0.613,-0.07,-0.0031,-0.699,0.709,0.259,0,0.44,0.303
5,3.833,3.142,4.592,3.547,3.502,3.814,3.038,3.038,4.229,-1.998,0.1,-5.64E-04,-5.07E-04,-9.29E-04,-5.03E-04,-7.20E-04,-5.03E-04,-8.22E-04,2.131,-0.154,0.715,0,0,0,270,760,760,-0.592,-0.353,-0.506,-1.233,-0.421,-0.592,-0.621,-0.536,-0.03,-0.0031,-0.642,0.63,0.215,0,0.45,0.321
7.5,3.132,2.391,3.65,2.84,2.821,3.152,2.368,2.368,3.554,-2.019,0.1,-2.34E-04,-2.10E-04,-3.85E-04,-2.09E-04,-2.99E-04,-2.09E-04,-3.41E-04,2.185,-0.154,0.73,0,0,0,270,760,760,-0.494,-0.311,-0.418,-1.147,-0.357,-0.52,-0.52,-0.444,-0.005,-0.0031,-0.524,0.306,0.175,0,0.406,0.312
10,2.72,2.031,2.95,2.422,2.408,2.791,1.939,1.939,3.166,-2.047,0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35,-0.154,0.745,0,0,0,270,760,760,-0.395,-0.261,-0.321,-1.06,-0.302,-0.395,-0.42,-0.352,0,-0.0031,-0.327,0.182,0.121,0,0.345,0.265
